  I     	  II     	  AO     	  AO'		
-33.26   	171.81   	140.47   	 539.16		
-29.91   	188.29   	142.62   	 534.08		
-26.25   	210.27   	144.76   	 528.99		
-23.50   	237.43   	146.88   	 523.90		
-22.89   	265.20   	148.97   	 523.90		
-23.80   	289.92   	151.07   	 513.73		
-24.72   	310.06   	153.12   	 508.65		
-23.80   	327.45   	155.16   	 503.56		
-20.45   	346.07   	157.17   	 503.56		
-15.87   	367.43   	159.19   	 493.39		
-12.82   	390.32   	161.16   	 483.21		
-13.43   	411.38   	163.09   	 467.95		
-18.31   	427.25   	164.96   	 457.78		
-23.80   	438.54   	166.79   	 437.43		
-25.94   	447.08   	168.54   	 417.09		
-23.50   	455.02   	170.21   	 391.66		
-17.70   	462.95   	171.78   	 366.22		
-12.82   	469.06   	173.24   	 340.79		
-10.99   	470.28   	174.61   	 310.27		
-11.90   	466.00   	175.85   	 284.84		
-13.73   	456.85   	176.99   	 259.41		
-15.26   	444.95   	178.03   	 239.06		
-16.17   	431.82   	178.98   	 213.63		
-17.40   	416.87   	179.84   	 203.46		
-18.01   	397.03   	180.65   	 188.20		
-16.78   	369.57   	181.40   	 178.03		
-13.73   	334.78   	182.12   	 178.03		
-10.68   	294.80   	182.83   	 172.94		
-11.90   	251.77   	183.52   	 152.59		
-17.70   	208.74   	184.13   	 137.33		
-25.02   	168.46   	184.68   	 116.99		
-29.30   	133.67   	185.15   	 101.73		
-27.16   	105.90   	185.55   	  76.30		
-20.14   	 83.01   	185.86   	  61.04		
-14.34   	 60.73   	186.10   	  40.69		
-13.73   	 36.93   	186.27   	  10.17		
-16.78   	 12.82   	186.31(S)	 -10.17		
-20.14   	 -8.24   	186.27   	 -40.69		
-21.97   	-24.11   	186.10   	 -81.38		
-22.89   	-36.62   	185.78   	-116.99		
-24.72   	-47.61   	185.31   	-162.77		
-27.47   	-57.07   	184.66   	-208.54		
-28.99   	-63.48   	183.82   	-259.41		
-28.69   	-66.83   	182.79   	-305.19		
-26.25   	-68.66   	181.57   	-340.79		
-23.50   	-70.50   	180.20   	-371.31		
-21.97   	-72.94   	178.72   	-396.74		
-21.36   	-74.16   	177.13   	-406.92		
-21.36   	-74.16   	175.50   	-417.09		
-23.19   	-73.85   	173.83   	-427.26		
-26.86   	-75.68   	172.13   	-417.09		
-30.82   	-80.87   	170.46   	-412.00		
-32.96   	-87.28   	168.81   	-396.74		
-31.13   	-92.47   	167.22   	-376.40		
-26.55   	-94.30   	165.72   	-356.05		
-22.28   	-91.86   	164.29   	-340.79		
-20.75   	-85.75   	162.93   	-320.45		
-21.97   	-78.74   	161.65   	-305.19		
-25.33   	-73.24   	160.43   	-289.93		
-27.77   	-71.41   	159.27   	-274.67		
-28.38   	-72.63   	158.17   	-259.41		
-27.77   	-74.16   	157.13   	-249.24		
-26.86   	-73.55   	156.13   	-239.06		
-25.33   	-69.27   	155.18   	-239.06		
-22.89   	-62.26   	154.22   	-233.98		
-20.75   	-55.85   	153.29   	-233.98		
-19.84   	-53.10   	152.35   	-244.15		
-21.06   	-55.24   	151.37   	-249.24		
-22.89   	-59.51   	150.38   	-259.41		
-23.80   	-61.04   	149.34   	-269.58		
-21.67   	-55.85   	148.26   	-274.67		
-17.70   	-45.17   	147.16   	-284.84		
-14.95   	-34.79   	146.02   	-295.01		
-14.95   	-29.60   	144.84   	-300.10		
-17.40   	-30.21   	143.64   	-300.10		
-20.45   	-33.87   	142.44   	-310.27		
-22.89   	-35.40   	141.20   	-310.27		
-23.19   	-33.57   	139.96   	-310.27		
-21.36   	-28.08   	138.72   	-305.19		
-18.62   	-21.67   	137.50   	-300.10		
-15.26   	-13.73   	136.30   	-295.01		
-12.21   	 -1.53   	135.12   	-284.84		
-10.68   	 15.87   	133.98   	-274.67		
-10.68   	 35.71   	132.88   	-264.50		
-11.29   	 54.32   	131.82   	-244.15		
-11.90   	 68.66   	130.84   	-233.98		
-12.21   	 77.21   	129.91   	-218.72		
-12.51   	 81.18   	129.03   	-198.37		
-11.90   	 82.09   	128.24   	-188.20		
 -9.16   	 82.40   	127.49   	-178.03		
 -4.88   	 84.53   	126.77   	-167.85		
 -1.22   	 89.42   	126.10   	-157.68		
  0.00   	 94.91   	125.47   	-152.59		
 -1.83   	 96.44   	124.86   	-147.51		
 -4.27   	 90.33   	124.27   	-147.51		
 -3.97   	 78.43   	123.68   	-152.59		
  0.31   	 68.97   	123.07   	-152.59		
  7.32   	 69.58   	122.46   	-147.51		
 15.56   	 82.40   	121.87   	-142.42		
 22.89   	100.10   	121.30   	-132.25		
 26.55   	111.08   	120.77   	-132.25		
 24.41   	105.90   	120.24   	-127.16		
 16.48   	 85.45   	119.74   	-127.16		
  4.58   	 57.07   	119.23   	-132.25		
 -6.41   	 26.86   	118.70   	-142.42		
-13.43   	 -3.05   	118.13   	-142.42		
-16.78   	-32.35   	117.56   	-157.68		
-18.01   	-60.12   	116.93   	-162.77		
-17.70   	-82.09   	116.28   	-178.03		
-16.48   	-93.99   	115.56   	-178.03		
-15.56   	-97.66   	114.85   	-193.29		
-17.09   	-98.88   	114.08   	-188.20		
-20.75   	-102.54   	113.33   	-193.29		
-25.33   	-108.34   	112.55   	-193.29		
-28.38   	-112.61   	111.78   	-183.11		
-27.77   	-113.53   	111.05   	-178.03		
-25.02   	-110.78   	110.34   	-162.77		
-22.89   	-108.03   	109.68   	-142.42		
-22.58   	-106.81   	109.11   	-122.07		
-22.28   	-106.81   	108.63   	 -96.64		
-21.36   	-107.12   	108.24   	 -71.21		
-20.45   	-107.42   	107.95   	 -35.61		
-19.53   	-106.51   	107.81   	 -15.26		
-18.92   	-103.15   	107.75   	   0.00		
-18.62   	-97.35   	107.75   	   5.09		
-18.62   	-91.55   	107.77   	   0.00		
-19.53   	-88.50   	107.77   	 -15.26		
-21.67   	-88.81   	107.71   	 -45.78		
-24.11   	-91.25   	107.53   	 -96.64		
-24.41   	-92.77   	107.14   	-147.51		
-21.97   	-91.55   	106.55   	-203.46		
-17.40   	-88.50   	105.74   	-244.15		
-14.34   	-86.06   	104.76   	-269.58		
-14.04   	-85.14   	103.68   	-279.75		
-15.56   	-85.75   	102.56   	-269.58		
-16.48   	-86.36   	101.48   	-264.50		
-15.26   	-86.06   	100.43   	-239.06		
-12.82   	-83.62   	 99.47   	-218.72		
-11.29   	-79.35   	 98.60   	-188.20		
-12.51   	-75.07   	 97.84   	-162.77		
-15.56   	-72.94   	 97.19   	-137.33		
-17.09   	-73.24   	 96.64   	-111.90		
-16.48   	-75.07   	 96.19   	-101.73		
-15.26   	-76.90   	 95.79   	 -86.47		
